,Dia,Mês,Ano,Hora,Cidade,Ocorrência,Descrição,Local,Qntd_Viaturas,Qntd_Militares
0,5,5,2023, 08:51:52,MACEIÓ,APH,VÍTIMA DE ENGASGO,"R. NOSSA SRA. DE FÁTIMA, N213, MACEIÓ-AL",1,2
1,5,5,2023, 08:52:25,MARAGOGI,ATIVIDADES COMUNITÁRIAS,FORÇA TAREFA EM MARAGOGI.,"MARAGOGI, MARAGOGI-AL",1,4
2,5,5,2023, 08:56:47,ARAPIRACA,BUSCA E SALVAMENTO,VERIFICAÇÃO DE OCORRÊNCIA DE ABELHAS ,"RUA MANOEL BELA BARBOZA, 501, ARAPIRACA-AL",1,3
3,5,5,2023, 09:00:20,SÃO MIGUEL DOS MILAGRES,ATIVIDADES COMUNITÁRIAS,FT SÃO MIGUEL.,"SÃO MIGUEL DOS MILAGRES, SÃO MIGUEL DOS MILAGRES-AL",0,2
4,5,5,2023, 09:03:57,PORTO DE PEDRAS,ATIVIDADES COMUNITÁRIAS,FT PATACHO.,"PRAIA PATACHO, PORTO DE PEDRAS-AL",0,2
5,5,5,2023, 09:07:16,MACEIÓ,BUSCA E SALVAMENTO,MARIBONDOS EM POSTE,"RESIDENCIAL VALE BENTES 2, MACEIÓ-AL",1,3
6,5,5,2023, 09:17:07,UNIÃO DOS PALMARES,APH,UM SENHOR CAIU DA PRÓPRIA ALTURA NUM CANTEIRO DE PLANTAS E TEVE UMA PERFURAÇÃO NO ABDÔMEN.,"RUA CORONEL JOSÉ BEZERRA, UNIÃO DOS PALMARES-AL",1,3
7,5,5,2023, 09:20:27,PALMEIRA DOS ÍNDIOS,APH,PACIENTE PSIQUIÁTRICO,"RUA PEDRO SOARES, 281, PALMEIRA DOS ÍNDIOS-AL",1,3
8,5,5,2023, 09:21:41,MARECHAL DEODORO,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES A BANHISTAS NA PRAIA DO FRANCÊS.,"PRAIA DO FRANCÊS, MARECHAL DEODORO-AL",1,5
9,5,5,2023, 09:24:36,BARRA DE SANTO ANTÔNIO,ATIVIDADES COMUNITÁRIAS,INSTRUÇÃO NO HOTEL VILA GALÉ.,"BARRA DE SANTO ANTÔNIO, BARRA DE SANTO ANTÔNIO-AL",1,3
10,5,5,2023, 09:25:05,PENEDO,BUSCA E SALVAMENTO,COBRA DE ESPÉCIE NÃO IDENTIFICADA NO BANHEIRO DA RESIDÊNCIA.,"PRAÇA CLEMENTINO DO MONTE, PENEDO-AL",1,3
11,5,5,2023, 09:25:12,MACEIÓ,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES A BANHISTAS NA PRAIA DO MIRANTE DA SEREIA.,"AVENIDA BEIRA MAR, MACEIÓ-AL",0,3
12,5,5,2023, 09:25:26,ARAPIRACA,APH,QUEDA DE MOTO,"AL-110, ARAPIRACA-AL",0,4
13,5,5,2023, 09:27:46,PORTO CALVO,ATIVIDADES COMUNITÁRIAS,MANUTENÇÃO DE VTR.,"PORTO CALVO, PORTO CALVO-AL",1,3
14,5,5,2023, 09:29:29,MACEIÓ,APH,PACIENTE PSIQUIATRICO,"R. PREF. JOATAS MALTA DE ALENCAR, MACEIÓ-AL",1,3
15,5,5,2023, 09:35:05,BARRA DE SANTO ANTÔNIO,ATIVIDADES COMUNITÁRIAS,INSTRUÇÃO CONTRA INCÊNDIO E EMERGÊNCIAS - ORGANIZADO PELA DAT.,"HOTEL VILA GALÉ - TOUROS, BARRA DE SANTO ANTÔNIO-AL",2,5
16,5,5,2023, 09:40:01,MACEIÓ,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES POSTO JATIÚCA,"AVENIDA ÁLVARO OTACÍLIO, MACEIÓ-AL",0,2
17,5,5,2023, 10:00:48,PORTO DE PEDRAS,BUSCA E SALVAMENTO,QUEDA DE ANDAIME. ,"PORTO DE PEDRAS, PORTO DE PEDRAS-AL",1,3
18,5,5,2023, 10:06:04,MARAGOGI,BUSCA E SALVAMENTO,CAPTURA DE COBRA.,"BARRA GRANDE, MARAGOGI-AL",1,2
19,5,5,2023, 10:14:29,SANTA LUZIA DO NORTE,PRODUTOS PERIGOSOS,VAZAMENTO DE GLP,"R. DOM PEDRO  2º, SANTA LUZIA DO NORTE-AL",0,0
20,5,5,2023, 10:31:43,ARAPIRACA,ATIVIDADES COMUNITÁRIAS,PB - ATIVIDADES COMUNITÁRIAS - FT AT 06,"ÁREA VERDE, ARAPIRACA-AL",1,3
21,5,5,2023, 10:42:31,MACEIÓ,ATIVIDADES COMUNITÁRIAS,"PREVENÇÕES A BANHISTAS NA PRAIA DE CRUZ DAS ALMAS, SVR.","PRAIA DE CRUZ DAS ALMAS, MACEIÓ-AL",0,5
22,5,5,2023, 10:49:45,MACEIÓ,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES A BANHISTAS NA PRAIA DO SOBRAL,"AVENIDA ASSIS CHATEAUBRIAND, MACEIÓ-AL",0,3
23,5,5,2023, 10:51:54,SÃO SEBASTIÃO,ATIVIDADES COMUNITÁRIAS,PB - SÃO SEBASTIÃO,"CENTRO, SÃO SEBASTIÃO, AL, SÃO SEBASTIÃO-AL",1,3
24,5,5,2023, 10:52:58,MACEIÓ,ATIVIDADES COMUNITÁRIAS,"PREVENÇÕES A BANHISTAS NA PRAIA DA GUAXUMA, SVR.","PRAIA DE GUAXUMA, MACEIÓ-AL",0,3
25,5,5,2023, 10:55:08,ROTEIRO,ATIVIDADES COMUNITÁRIAS,"PREVENÇÕES A BANHISTAS NA PRAIA DO GUNGA, SVR.","PRAIA DO GUNGA, ROTEIRO-AL",0,2
26,5,5,2023, 10:55:21,SÃO MIGUEL DOS CAMPOS,ATIVIDADES COMUNITÁRIAS,PB -  SÃO MIGUEL DOS CAMPOS,"E.E ANA LINS, SÃO MIGUEL DOS CAMPOS-AL",1,3
27,5,5,2023, 11:01:05,ARAPIRACA,APH,ABELHAS EM ESCOLA COC,"COLÉGIO COC ARAPIRACA, ARAPIRACA-AL",1,4
28,5,5,2023, 11:24:03,ARAPIRACA,APH,QUEDA DE MOTO,"RUA MANOEL ABREU, ARAPIRACA-AL",0,4
29,5,5,2023, 12:18:15,MACEIÓ,APH,TRANSPORTE DE MILITAR ENFERMO ATÉ O HOSPITAL.,"CONJUNTO MEDEIROS NETO - BLOCO 131, APT. 01, MACEIÓ-AL",2,7
30,5,5,2023, 12:19:36,PIRANHAS,ATIVIDADES COMUNITÁRIAS,"PREVENÇÃO AOS BANHISTAS ORLA DE PIRANHAS, SVR.","ORLA FLUVIAL ALTEMAR DUTRA, PIRANHAS-AL",0,3
31,5,5,2023, 12:23:58,ARAPIRACA,ATIVIDADES COMUNITÁRIAS,PB - AR 59- LAGO DA PERUCABA,"PLANETÁRIO E CASA DA CIÊNCIA DE ARAPIRACA, ARAPIRACA-AL",0,4
32,5,5,2023, 12:46:41,ARAPIRACA,BUSCA E SALVAMENTO,CACHORRO EM FOSSA,"RUA LUCIANA RODRIGUES DE ARAUJO, ARAPIRACA-AL",1,4
33,5,5,2023, 13:04:13,MACEIÓ,BUSCA E SALVAMENTO,"MARIBONDOS EM BAIXO DE ESCADA DE CIMENTO, TAMANHO DE UMA LARANJA, A CERCA DE 2M DE ALTURA.","RUA 24 DE OUTUBRO, N5, MACEIÓ-AL",1,3
34,5,5,2023, 14:09:23,SANTANA DO IPANEMA,ATIVIDADES COMUNITÁRIAS,SVR SAT 9° GBM.,"SANTANA DO IPANEMA, SANTANA DO IPANEMA-AL",1,4
35,5,5,2023, 14:14:37,ARAPIRACA,ATIVIDADES COMUNITÁRIAS,PB FISCALIZAÇÕES ,"R. GOV. SILVESTRE PÉRICLES, 375, ARAPIRACA-AL",0,3
36,5,5,2023, 14:18:49,SÃO LUÍS DO QUITUNDE,ATIVIDADES COMUNITÁRIAS,TRANSPORTE DE MATERIAL PARA POSTO SÃO LUIS DO QUITUNDE,"SÃO LUÍS DO QUITUNDE, SÃO LUÍS DO QUITUNDE-AL",1,1
37,5,5,2023, 14:30:29,MACEIÓ,APH,ACIDENTE CASUAL COM TRAVAMENTO DE COLUNA.,"R. SEN. RUI PALMEIRA, 675, MACEIÓ-AL",0,3
38,5,5,2023, 14:59:13,MACEIÓ,APH,IDOSA VÍTIMA DE QUEDA DA PRÓPRIA ALTURA. QUEIXANDO-SE DE DORES E QUE NÃO CONSEGUE MOVIMENTAR-SE.,"R. DEMÓCRITO GRACINDO, 132, MACEIÓ-AL",1,4
39,5,5,2023, 16:03:01,ARAPIRACA,BUSCA E SALVAMENTO,GATO PRESO EM CARRO,"R. FRANCISCO RODRIGUES VIANA, 50, ARAPIRACA-AL",1,4
40,5,5,2023, 16:20:04,MACEIÓ,APH,"QUEDA DE ALTURA, FEMININO","TRAVESSA SANTO ANDRÉ, 158 - GROTA DO RAFAEL, MACEIÓ-AL",1,4
41,5,5,2023, 16:35:01,MACEIÓ,INCÊNDIO,INCÊNDIO EM APTO,"RUA PROFª EDITE BRANDAO NOGUEIRA, N130, MACEIÓ-AL",4,1
42,5,5,2023, 17:24:23,LIMOEIRO DE ANADIA,BUSCA E SALVAMENTO,ABELHA EM ESCOLA,"ESCOLA DE EDUCAÇÃO BÁSICA PREFEITO BENÍCIO FERREIRA REIS, LIMOEIRO DE ANADIA-AL",1,4
43,5,5,2023, 17:30:13,MACEIÓ,APH,QUEDA DA PRÓPRIA ALTURA,"RUA PAU DARCO. N59, MACEIÓ-AL",0,3
44,5,5,2023, 17:49:42,SÃO MIGUEL DOS MILAGRES,BUSCA E SALVAMENTO,CAPTURA DE ABELHAS,"PARÓQUIA DE NOSSA SENHORA MÃE DO POVO, SÃO MIGUEL DOS MILAGRES-AL",1,3
